序号,原名称,核实后名称,装机容量MW,省,市,区,详细地址,电场名称线索文本,电场名称线索参考地址,装机容量线索文本,装机容量线索参考地址,确信度,搜索状态,搜索关键词,经度,纬度,地理编码结果
162,砚山大清塘光伏,砚山大清塘光伏发电站,100,云南省,文山州,砚山县,维摩乡,砚山大清塘光伏发电站,https://www.yn.gov.cn/ztgg/jdbytjwhjc/cyh/xgzx/202311/t20231108_288720.html,100.16MW,https://www.yn.gov.cn/ztgg/jdbytjwhjc/cyh/xgzx/202311/t20231108_288720.html,高,地理编码成功,维摩乡,104.18791,23.73128,success: detail_address
163,砚山分布式光伏,砚山分布式光伏发电站,60,云南省,文山州,砚山县,云南省文山州砚山县,砚山分布式光伏发电站,https://guangfu.bjx.com.cn/news/20240327/1368300.shtml,60MW,https://guangfu.bjx.com.cn/news/20240327/1368300.shtml,高,地理编码成功,云南省文山州砚山县,104.334632,23.621525,success: detail_address
164,砚山660MW水面光伏一期,砚山660MWp水面光伏电站一期,50,云南省,文山州,砚山县,云南省文山州砚山县,砚山660MWp水面光伏电站一期,https://www.sohu.com/a/70809645_257552,50MW,https://www.sohu.com/a/70809645_257552,高,地理编码成功,云南省文山州砚山县,104.334632,23.621525,success: detail_address
165,丘北小塘子光伏,丘北小塘子光伏发电站,200,云南省,文山州,丘北县,树皮乡/腻脚乡,丘北小塘子光伏发电站,https://caijing.chinadaily.com.cn/a/202411/21/WS673eca06a310b59111da4b14.html,200MW,https://caijing.chinadaily.com.cn/a/202411/21/WS673eca06a310b59111da4b14.html,高,地理编码成功,树皮乡/腻脚乡,104.10154,23.88211,success: detail_address
166,丘北山心光伏,丘北山心光伏发电站,30,云南省,文山州,丘北县,官寨乡,丘北山心光伏发电站,https://www.163.com/dy/article/HJVQQKUL0545R4CU.html,30MW,https://www.163.com/dy/article/HJVQQKUL0545R4CU.html,高,地理编码成功,官寨乡,104.04376,24.29949,success: detail_address
167,丘北红花山光伏,丘北红花山光伏发电站,,云南省,文山州,丘北县,曰者镇,丘北红花山光伏发电站,https://www.kesolar.com/headline/249289.html,,https://www.kesolar.com/headline/249289.html,高,地理编码成功,曰者镇,104.00654,24.1672,success: detail_address
168,丘北干龙塘光伏,丘北干龙塘光伏发电站,60,云南省,文山州,丘北县,腻脚乡,丘北干龙塘光伏发电站,https://new.qq.com/rain/a/20260107A05WZW00,60MW,https://new.qq.com/rain/a/20260107A05WZW00,高,地理编码成功,腻脚乡,103.84921,24.04244,success: detail_address
169,丘北双羊洞光伏,丘北双羊洞光伏发电站,120,云南省,文山州,丘北县,舍得乡/曰者镇,丘北双羊洞光伏发电站,http://yn.yunnan.cn/system/2024/10/11/033263254.shtml,120MW,http://yn.yunnan.cn/system/2024/10/11/033263254.shtml,高,地理编码成功,舍得乡/曰者镇,104.00654,24.1672,success: detail_address
170,富宁那平光伏,富宁那平光伏发电站,40,云南省,文山州,富宁县,云南省文山州富宁县,富宁那平光伏发电站,http://news.yunnan.cn/system/2026/04/01/033945748.shtml,40MW,http://news.yunnan.cn/system/2026/04/01/033945748.shtml,高,地理编码成功,云南省文山州富宁县,105.62069,23.6287,success: detail_address
171,富宁平安光伏,富宁平安光伏发电站,40,云南省,文山州,富宁县,云南省文山州富宁县,富宁平安光伏发电站,http://news.yunnan.cn/system/2026/04/01/033945748.shtml,40MW,http://news.yunnan.cn/system/2026/04/01/033945748.shtml,高,地理编码成功,云南省文山州富宁县,105.62069,23.6287,success: detail_address
172,富宁分布式光伏,富宁分布式光伏发电站,38,云南省,文山州,富宁县,云南省文山州富宁县,富宁分布式光伏发电站,https://guangfu.bjx.com.cn/news/20230901/1329479.shtml,38MW,https://guangfu.bjx.com.cn/news/20230901/1329479.shtml,高,地理编码成功,云南省文山州富宁县,105.62069,23.6287,success: detail_address
173,凤庆雪山镇茶光互补光伏,凤庆雪山镇茶光互补光伏发电站,100,云南省,临沧市,凤庆县,雪山镇,凤庆雪山镇茶光互补光伏发电站,http://www.nengyuanjie.net/nyhlw/nyhlw/series/guangfu.html?&page=5,100MW,http://www.nengyuanjie.net/nyhlw/nyhlw/series/guangfu.html?&page=5,高,地理编码成功,云南省临沧市凤庆县雪山镇,99.936731,24.346214,success: province_city_district_detail
174,凤庆大兴光伏,凤庆大兴农光互补光伏发电站,50,云南省,临沧市,凤庆县,洛党镇,凤庆大兴农光互补光伏发电站,http://www.hnxydl.com/news/24.html,50MW,http://www.hnxydl.com/news/24.html,高,地理编码成功,洛党镇,100.02159,24.53232,success: detail_address
175,凤庆桃花光伏,凤庆桃花光伏发电站,90,云南省,临沧市,凤庆县,洛党镇,凤庆桃花光伏发电站,https://k.sina.com.cn/article_2090512390_7c9ab00602002p0w2.html,90MW,https://k.sina.com.cn/article_2090512390_7c9ab00602002p0w2.html,高,地理编码成功,洛党镇,100.02159,24.53232,success: detail_address
176,凤庆大树林茶光互补光伏,凤庆大树林茶光互补光伏发电站,100,云南省,临沧市,凤庆县,云南省临沧市凤庆县,凤庆大树林茶光互补光伏发电站,https://www.kesolar.com/headline/277250.html,100MW,https://www.kesolar.com/headline/277250.html,高,地理编码成功,云南省临沧市凤庆县,99.9275,24.58353,success: detail_address
177,凤庆腰街茶光互补光伏,凤庆腰街茶光互补光伏发电站,90,云南省,临沧市,凤庆县,云南省临沧市凤庆县,凤庆腰街茶光互补光伏发电站,https://www.kesolar.com/headline/277250.html,90MW,https://www.kesolar.com/headline/277250.html,高,地理编码成功,云南省临沧市凤庆县,99.9275,24.58353,success: detail_address
178,凤庆凤山茶光互补光伏,凤庆凤山茶光互补光伏发电站,70,云南省,临沧市,凤庆县,云南省临沧市凤庆县,凤庆凤山茶光互补光伏发电站,https://www.kesolar.com/headline/277250.html,70MW,https://www.kesolar.com/headline/277250.html,高,地理编码成功,云南省临沧市凤庆县,99.9275,24.58353,success: detail_address
179,凤庆大田脚光伏,凤庆大田脚光伏发电站,130,云南省,临沧市,凤庆县,凤山镇/勐佑镇,凤庆大田脚光伏发电站,https://solar.in-en.com/html/solar-2449507.shtml,130MW,https://solar.in-en.com/html/solar-2449507.shtml,高,地理编码成功,凤山镇/勐佑镇,99.76856,24.6094,success: detail_address
180,凤庆大烂坝光伏,凤庆大烂坝光伏发电站,50,云南省,临沧市,凤庆县,勐佑镇,凤庆大烂坝光伏发电站,https://solar.in-en.com/html/solar-2449507.shtml,50MW,https://solar.in-en.com/html/solar-2449507.shtml,高,地理编码成功,勐佑镇,99.76856,24.6094,success: detail_address
181,凤庆吴家箐光伏,凤庆吴家箐光伏发电站,50,云南省,临沧市,凤庆县,大寺乡,凤庆吴家箐光伏发电站,https://solar.in-en.com/html/solar-2449507.shtml,50MW,https://solar.in-en.com/html/solar-2449507.shtml,高,地理编码成功,大寺乡,99.87898,24.70468,success: detail_address
182,云县干龙潭光伏,云县干龙潭并网光伏发电站,30,云南省,临沧市,云县,幸福镇,云县干龙潭并网光伏发电站,https://baike.baidu.com/item/干龙潭30MW光伏电站/19834450,30MW,https://baike.baidu.com/item/干龙潭30MW光伏电站/19834450,高,地理编码成功,云南省临沧市云县幸福镇,99.95224,24.149,success: province_city_district_detail
183,云县茂兰林业光伏,云县茂兰林业光伏发电站,200,云南省,临沧市,云县,茂兰镇,云县茂兰林业光伏发电站,https://www.nengyuanjie.net/article/92813.html,200MW,https://www.nengyuanjie.net/article/92813.html,高,地理编码成功,云南省临沧市云县茂兰镇,100.23969,24.57129,success: province_city_district_detail
184,云县爱华镇光伏,云县爱华镇光伏发电站,100,云南省,临沧市,云县,爱华镇,云县爱华镇光伏发电站,https://guangfu.bjx.com.cn/news/20230419/1301855.shtml,100MW,https://guangfu.bjx.com.cn/news/20230419/1301855.shtml,高,地理编码成功,爱华镇,100.127847,24.451382,success: detail_address
185,云县大朝山西林业光伏,云县大朝山西林业光伏发电站,180,云南省,临沧市,云县,云南省临沧市云县,云县大朝山西林业光伏发电站,https://guangfu.bjx.com.cn/news/20220302/1207523.shtml,180MW,https://guangfu.bjx.com.cn/news/20220302/1207523.shtml,高,地理编码成功,云南省临沧市云县,100.129147,24.447318,success: detail_address
186,临沧耿马大兴周家寨光伏,临沧耿马大兴周家寨复合光伏发电站,200,云南省,临沧市,耿马县,大兴镇,临沧耿马大兴周家寨复合光伏发电站,https://www.163.com/dy/article/J5H565N005565EU3.html,200MW,https://www.163.com/dy/article/J5H565N005565EU3.html,高,地理编码成功,云南省临沧市耿马县大兴镇,99.8057,23.79819,success: province_city_district_detail
187,临翔区博尚镇光伏,临沧博尚镇300MW光伏复合发电站,300,云南省,临沧市,临翔区,博尚镇,临沧博尚镇300MW光伏复合发电站,https://news.sina.com.cn/zx/gj/2023-12-27/doc-imzznaaz7905688.shtml,300MW,https://news.sina.com.cn/zx/gj/2023-12-27/doc-imzznaaz7905688.shtml,高,地理编码成功,博尚镇,100.05416,23.72329,success: detail_address
188,临翔区马台光伏三期,临沧马台光伏发电站三期,200,云南省,临沧市,临翔区,马台乡,临沧马台光伏发电站三期,https://guangfu.bjx.com.cn/news/20250321/1433296.shtml,200MW,https://guangfu.bjx.com.cn/news/20250321/1433296.shtml,高,地理编码成功,马台乡,100.27129,23.79308,success: detail_address
189,沧源茶光互补光伏,沧源县茶光互补光伏发电站,465,云南省,临沧市,沧源县,云南省临沧市沧源县,沧源县茶光互补光伏发电站,https://www.sohu.com/a/815700679_703050,465MW,https://www.sohu.com/a/815700679_703050,高,地理编码成功,云南省临沧市沧源县,99.245,23.14957,success: detail_address
190,沧源佤山机场光伏一期,沧源佤山机场光伏发电站一期,,云南省,临沧市,沧源县,糯良乡,沧源佤山机场光伏发电站一期,https://www.163.com/dy/article/ISCP6FVB055620AY.html,,https://www.163.com/dy/article/ISCP6FVB055620AY.html,高,地理编码成功,糯良乡,99.33067,23.23706,success: detail_address
191,永德大雪山光伏,永德大雪山200MW农(林)光互补光伏发电站,200,云南省,临沧市,永德县,大雪山乡,永德大雪山200MW农(林)光互补光伏发电站,https://new.qq.com/rain/a/20250821A084OP00,200MW,https://new.qq.com/rain/a/20250821A084OP00,高,地理编码成功,云南省临沧市永德县大雪山乡,99.740828,24.026832,success: province_city_district_detail
192,永德小勐统光伏,永德小勐统镇70MW农牧光互补光伏发电站,70,云南省,临沧市,永德县,小勐统镇,永德小勐统镇70MW农牧光互补光伏发电站,https://www.163.com/dy/article/IP4TM0LD0530KCTU.html,70MW,https://www.163.com/dy/article/IP4TM0LD0530KCTU.html,高,地理编码成功,小勐统镇,99.28632,24.20744,success: detail_address
193,永德勐板光伏,永德勐板乡农光互补光伏发电站,55,云南省,临沧市,永德县,勐板乡,永德勐板乡农光互补光伏发电站,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,55MW,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,高,地理编码成功,勐板乡,99.14711,24.08775,success: detail_address
194,永德乌木龙光伏,永德乌木龙乡农光互补光伏发电站,70,云南省,临沧市,永德县,乌木龙乡,永德乌木龙乡农光互补光伏发电站,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,70MW,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,高,地理编码成功,乌木龙乡,99.70283,24.19989,success: detail_address
195,永德木瓜河光伏,永德木瓜河农光互补光伏发电站,62,云南省,临沧市,永德县,云南省临沧市永德县,永德木瓜河农光互补光伏发电站,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,62MW,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,高,地理编码成功,云南省临沧市永德县,99.25775,24.0215,success: detail_address
196,永德崇岗光伏,永德崇岗乡药光互补光伏发电站,70,云南省,临沧市,永德县,崇岗乡,永德崇岗乡药光互补光伏发电站,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,70MW,https://guangfu.bjx.com.cn/news/20240220/1361759.shtml,高,地理编码成功,崇岗乡,99.48912,23.83855,success: detail_address
197,永德三岔沟光伏,永德三岔沟复合型光伏发电站,130,云南省,临沧市,永德县,班卡乡,永德三岔沟复合型光伏发电站,https://guangfu.bjx.com.cn/news/20231017/1337372.shtml,130MW,https://guangfu.bjx.com.cn/news/20231017/1337372.shtml,高,地理编码成功,班卡乡,99.479754,24.019374,success: detail_address
198,永德屋顶分布式光伏,永德县城建46MW户用屋顶分布式光伏发电站,46,云南省,临沧市,永德县,云南省临沧市永德县,永德县城建46MW户用屋顶分布式光伏发电站,https://guangfu.bjx.com.cn/news/20240930/1403236.shtml,46MW,https://guangfu.bjx.com.cn/news/20240930/1403236.shtml,高,地理编码成功,云南省临沧市永德县,99.25775,24.0215,success: detail_address
199,镇康360MW光伏,镇康360MW农光互补复合光伏发电站,360,云南省,临沧市,镇康县,忙丙乡,镇康360MW农光互补复合光伏发电站,http://yn.yunnan.cn/system/2023/12/31/032893589.shtml,360MW,http://yn.yunnan.cn/system/2023/12/31/032893589.shtml,高,地理编码成功,忙丙乡,99.155796,23.938516,success: detail_address
200,镇康乌木光伏,镇康乌木村120MW农光互补光伏发电站,120,云南省,临沧市,镇康县,忙丙乡,镇康乌木村120MW农光互补光伏发电站,https://www.sohu.com/a/777035421_121123842,120MW,https://www.sohu.com/a/777035421_121123842,高,地理编码成功,忙丙乡,99.155796,23.938516,success: detail_address
201,镇康水泥厂分布式光伏,镇康水泥厂5MW分布式光伏发电站,5,云南省,临沧市,镇康县,云南省临沧市镇康县,镇康水泥厂5MW分布式光伏发电站,https://business.sohu.com/a/661040886_120267827,5MW,https://business.sohu.com/a/661040886_120267827,高,地理编码成功,云南省临沧市镇康县,98.824724,23.76575,success: detail_address
202,耿马整县屋顶分布式光伏,耿马整县106MW屋顶分布式光伏发电站,106,云南省,临沧市,耿马县,云南省临沧市耿马县,耿马整县106MW屋顶分布式光伏发电站,https://power.in-en.com/html/power-2400108.shtml,106MW,https://power.in-en.com/html/power-2400108.shtml,高,地理编码成功,云南省临沧市耿马县,99.39605,23.540582,success: detail_address
203,耿马四排山二期光伏,耿马四排山光伏发电站二期,150,云南省,临沧市,耿马县,四排山乡,耿马四排山光伏发电站二期,https://guangfu.bjx.com.cn/news/20250218/1427701.shtml,150MW,https://guangfu.bjx.com.cn/news/20250218/1427701.shtml,高,地理编码成功,四排山乡,99.56937,23.45967,success: detail_address
204,耿马孟定苏子塘光伏,耿马孟定镇苏子塘90MW农光互补光伏发电站,90,云南省,临沧市,耿马县,孟定镇,耿马孟定镇苏子塘90MW农光互补光伏发电站,http://ztb.guizhou.gov.cn/trade/bulletin/?id=509599,90MW,http://ztb.guizhou.gov.cn/trade/bulletin/?id=509599,中,地理编码成功,孟定镇,99.08204,23.5563,success: detail_address
205,勐海曼外光伏,勐海曼外光伏发电站,70,云南省,西双版纳州,勐海县,勐混镇,勐海曼外光伏发电站,http://www.sasac.gov.cn/n2588025/n2588129/c29742522/content.html,70MW,http://www.sasac.gov.cn/n2588025/n2588129/c29742522/content.html,高,地理编码成功,勐混镇,100.38417,21.84315,success: detail_address
206,景洪勐旺大平掌光伏,景洪勐旺大平掌光伏发电站,110,云南省,西双版纳州,景洪市,勐旺乡,景洪勐旺大平掌光伏发电站,https://finance.sina.com.cn/jjxw/2025-01-10/doc-ineenxxr5359984.shtml,110MW,https://finance.sina.com.cn/jjxw/2025-01-10/doc-ineenxxr5359984.shtml,高,地理编码成功,勐旺乡,101.29235,22.49163,success: detail_address
207,景洪普文曼戈龙光伏,景洪普文曼戈龙光伏发电站,75,云南省,西双版纳州,景洪市,普文镇,景洪普文曼戈龙光伏发电站,https://finance.sina.com.cn/jjxw/2025-01-10/doc-ineenxxr5359984.shtml,75MW,https://finance.sina.com.cn/jjxw/2025-01-10/doc-ineenxxr5359984.shtml,高,地理编码成功,普文镇,101.05741,22.5066,success: detail_address
208,景洪普文云盘光伏,景洪普文云盘光伏发电站,65,云南省,西双版纳州,景洪市,普文镇,景洪普文云盘光伏发电站,https://guangfu.bjx.com.cn/news/20250110/1422130.shtml,65MW,https://guangfu.bjx.com.cn/news/20250110/1422130.shtml,高,地理编码成功,普文镇,101.05741,22.5066,success: detail_address
209,勐腊藤蔑山二期光伏,勐腊藤蔑山光伏发电站二期,70,云南省,西双版纳州,勐腊县,关累镇,勐腊藤蔑山光伏发电站二期,https://finance.sina.com.cn/jjxw/2025-01-10/doc-ineenxxr5359984.shtml,70MW,https://finance.sina.com.cn/jjxw/2025-01-10/doc-ineenxxr5359984.shtml,高,地理编码成功,关累镇,101.28609,21.70059,success: detail_address
210,勐腊乌沙河光伏,勐腊乌沙河光伏发电站,150,云南省,西双版纳州,勐腊县,易武镇,勐腊乌沙河光伏发电站,https://www.energytrend.cn/news/20250318-141383.html,150MW,https://www.energytrend.cn/news/20250318-141383.html,高,地理编码成功,易武镇,101.46946,21.98119,success: detail_address
211,勐海南弄光伏,勐海南弄光伏发电站,60,云南省,西双版纳州,勐海县,云南省西双版纳州勐海县,勐海南弄光伏发电站,https://guangfu.bjx.com.cn/news/20230802/1323135.shtml,60MW,https://guangfu.bjx.com.cn/news/20230802/1323135.shtml,高,地理编码成功,云南省西双版纳州勐海县,100.46419,21.973231,success: detail_address
212,永平栗树坪光伏,永平栗树坪光伏发电站,,云南省,大理州,永平县,云南省大理州永平县,永平栗树坪光伏发电站,https://www.163.com/dy/article/JSV8L0P80530QRMB.html,,https://www.163.com/dy/article/JSV8L0P80530QRMB.html,高,地理编码成功,云南省大理州永平县,99.5274,25.46442,success: detail_address
213,南涧母麦地光伏,南涧母麦地光伏发电站,70,云南省,大理州,南涧县,乐秋乡/南涧镇/拥翠乡/宝华镇,南涧母麦地光伏发电站,https://dali.yunnan.cn/system/2024/07/03/033128115.shtml,70MW,https://dali.yunnan.cn/system/2024/07/03/033128115.shtml,高,地理编码成功,乐秋乡/南涧镇/拥翠乡/宝华镇,100.38307,24.93314,success: detail_address
214,鹤庆均华光伏,鹤庆均华光伏发电站(井东湾场址),120,云南省,大理州,鹤庆县,黄坪镇,鹤庆均华光伏发电站(井东湾场址),https://mguangfu.bjx.com.cn/mnews/20230105/1281068.shtml,120MW,https://mguangfu.bjx.com.cn/mnews/20230105/1281068.shtml,高,地理编码成功,云南省大理州鹤庆县黄坪镇,100.25952,26.10394,success: province_city_district_detail
215,宾川前所农光互补光伏,宾川前所农光互补光伏发电站,80,云南省,大理州,宾川县,云南省大理州宾川县州城镇和乔甸镇之间（铁城坡）,宾川前所农光互补光伏发电站,https://solar.ofweek.com/2023-12/ART-260006-8120-30618512.html,80MW,https://solar.ofweek.com/2023-12/ART-260006-8120-30618512.html,高,地理编码成功,云南省大理州宾川县州城镇和乔甸镇之间（铁城坡）,100.599044,25.682871,success: detail_address
216,宾川孔新庄光伏,宾川孔新庄光伏发电站,100,云南省,大理州,宾川县,云南省大理州宾川县,宾川孔新庄光伏发电站,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,100MW,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,高,地理编码成功,云南省大理州宾川县,100.574446,25.831013,success: detail_address
217,宾川橘果厂光伏,宾川橘果厂光伏发电站,50,云南省,大理州,宾川县,云南省大理州宾川县,宾川橘果厂光伏发电站,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,50MW,https://guangfu.bjx.com.cn/news/20240418/1372366.shtml,高,地理编码成功,云南省大理州宾川县,100.574446,25.831013,success: detail_address
218,宾川龙口光伏,宾川龙口光伏发电站,150,云南省,大理州,宾川县,云南省大理州宾川县宾居镇何家山,宾川龙口光伏发电站,http://union.china.com.cn/txt/2022-08/31/content_42090829.html,150MW,http://union.china.com.cn/txt/2022-08/31/content_42090829.html,高,地理编码成功,云南省大理州宾川县宾居镇何家山,100.521865,25.730421,success: detail_address
219,宾川大梅地光伏,宾川大梅地光伏发电站,20,云南省,大理州,宾川县,金牛镇,宾川大梅地光伏发电站,https://new.qq.com/rain/a/20250529A06PCO00,20MW,https://new.qq.com/rain/a/20250529A06PCO00,高,地理编码成功,金牛镇,100.5838,25.82759,success: detail_address
220,宾川老鹰岩四期光伏,宾川老鹰岩光伏发电站四期,50,云南省,大理州,宾川县,大营镇,宾川老鹰岩光伏发电站四期,http://yn.news.cn/hot/2021-11/25/c_1310331845.htm,50MW,http://yn.news.cn/hot/2021-11/25/c_1310331845.htm,高,地理编码成功,大营镇,100.461714,25.787727,success: detail_address
221,祥云朝阳村光伏,祥云朝阳村复合型光伏发电站,100,云南省,大理州,祥云县,云南省大理州祥云县,祥云朝阳村复合型光伏发电站,https://mguangfu.bjx.com.cn/mnews/20220929/1258136.shtml,100MW,https://mguangfu.bjx.com.cn/mnews/20220929/1258136.shtml,高,地理编码成功,云南省大理州祥云县,100.55264,25.47692,success: detail_address
222,祥云云南驿一期光伏,祥云云南驿一期复合型光伏发电站,50,云南省,大理州,祥云县,云南省大理州祥云县,祥云云南驿一期复合型光伏发电站,https://mguangfu.bjx.com.cn/mnews/20220929/1258136.shtml,50MW,https://mguangfu.bjx.com.cn/mnews/20220929/1258136.shtml,高,地理编码成功,云南省大理州祥云县,100.55264,25.47692,success: detail_address
223,宾川中电西村光伏,宾川中电西村光伏发电站,50,云南省,大理州,宾川县,云南省大理州宾川县,宾川中电西村光伏发电站,https://www.kesolar.com/market/49417.html,50MW,https://www.kesolar.com/market/49417.html,高,地理编码成功,云南省大理州宾川县,100.574446,25.831013,success: detail_address
224,鹤庆松桂光伏,鹤庆松桂光伏发电站,80,云南省,大理州,鹤庆县,松桂镇,鹤庆松桂光伏发电站,https://finance.sina.com.cn/jjxw/2025-03-28/doc-inerexcr1311199.shtml,80MW,https://finance.sina.com.cn/jjxw/2025-03-28/doc-inerexcr1311199.shtml,高,地理编码成功,松桂镇,100.20046,26.35638,success: detail_address
225,鹤庆水坪光伏,鹤庆水坪村农光互补光伏发电站,60,云南省,大理州,鹤庆县,黄坪镇,鹤庆水坪村农光互补光伏发电站,https://www.cpnn.com.cn/news/xny/202404/t20240403_1690467.html,60MW,https://www.cpnn.com.cn/news/xny/202404/t20240403_1690467.html,高,地理编码成功,云南省大理州鹤庆县黄坪镇,100.25952,26.10394,success: province_city_district_detail
226,鹤庆葡萄塘光伏,鹤庆葡萄塘农光互补光伏发电站,40,云南省,大理州,鹤庆县,云南省大理州鹤庆县,鹤庆葡萄塘农光互补光伏发电站,http://www.cpnn.com.cn/dianlituku/202503/t20250319_1783332.html,40MW,http://www.cpnn.com.cn/dianlituku/202503/t20250319_1783332.html,高,地理编码成功,云南省大理州鹤庆县,100.17484,26.56144,success: detail_address
227,鹤庆黄坪光伏,鹤庆黄坪并网光伏发电站,30,云南省,大理州,鹤庆县,黄坪镇,鹤庆黄坪并网光伏发电站,http://www.ipvei.com/earnings/projectView.action?piid=669C14308CB54B2D9ABB8F8C0205727C,30MW,http://www.ipvei.com/earnings/projectView.action?piid=669C14308CB54B2D9ABB8F8C0205727C,高,地理编码成功,云南省大理州鹤庆县黄坪镇,100.25952,26.10394,success: province_city_district_detail
228,弥渡德苴二期光伏,弥渡德苴二期复合型光伏发电站,250,云南省,大理州,弥渡县,云南省大理州弥渡县,弥渡德苴二期复合型光伏发电站,https://newenergy.in-en.com/html/newenergy-2413210.shtml,250MW,https://newenergy.in-en.com/html/newenergy-2413210.shtml,高,地理编码成功,云南省大理州弥渡县,100.48846,25.34759,success: detail_address
229,祥云雄里坡光伏,祥云雄里坡(普淜)复合型光伏发电站,100,云南省,大理州,祥云县,普淜镇,祥云雄里坡(普淜)复合型光伏发电站,https://www.toutiao.com/article/7125701343427166758,100MW,https://www.toutiao.com/article/7125701343427166758,高,地理编码成功,普淜镇,100.90869,25.34044,success: detail_address
230,祥云小营光伏,祥云小营光伏发电站,50,云南省,大理州,祥云县,鹿鸣乡,祥云小营光伏发电站,https://solar.in-en.com/html/solar-2433363.shtml,50MW,https://solar.in-en.com/html/solar-2433363.shtml,高,地理编码成功,鹿鸣乡,100.74284,25.29766,success: detail_address
231,祥云鹿鸣小营光伏,祥云鹿鸣乡小营村光伏发电站,56.5,云南省,大理州,祥云县,鹿鸣乡,祥云鹿鸣乡小营村光伏发电站,https://newenergy.in-en.com/html/newenergy-2413210.shtml,56.5MW,https://newenergy.in-en.com/html/newenergy-2413210.shtml,高,地理编码成功,鹿鸣乡,100.74284,25.29766,success: detail_address
232,祥云飞龙厂区分布式光伏,祥云飞龙厂区20MW分布式光伏发电站,20,云南省,大理州,祥云县,云南省大理州祥云县,祥云飞龙厂区20MW分布式光伏发电站,https://guangfu.bjx.com.cn/news/20211013/1181284.shtml,20MW,https://guangfu.bjx.com.cn/news/20211013/1181284.shtml,高,地理编码成功,云南省大理州祥云县,100.55264,25.47692,success: detail_address
233,华坪左岔密落槽子光伏,华坪左岔密落槽子光伏发电站,30,云南省,丽江市,华坪县,中心镇,华坪左岔密落槽子光伏发电站,http://society.yunnan.cn/system/2026/03/25/033931777.shtml,30MW,http://society.yunnan.cn/system/2026/03/25/033931777.shtml,高,地理编码成功,云南省丽江市华坪县中心镇,101.2621,26.6307,success: province_city_district_detail
234,华坪水子坪光伏,华坪水子坪光伏发电站,,云南省,丽江市,华坪县,云南省丽江市华坪县,华坪水子坪光伏发电站,http://society.yunnan.cn/system/2026/03/25/033931777.shtml,,http://society.yunnan.cn/system/2026/03/25/033931777.shtml,高,地理编码成功,云南省丽江市华坪县,101.26447,26.63264,success: detail_address
235,华坪小村岩光伏,华坪小村岩(梭罗井)光伏发电站,54,云南省,丽江市,华坪县,云南省丽江市华坪县,华坪小村岩(梭罗井)光伏发电站,https://www.toutiao.com/article/7234784025624412732/,54MW,https://www.toutiao.com/article/7234784025624412732/,高,地理编码成功,云南省丽江市华坪县,101.26447,26.63264,success: detail_address
236,华坪瓦房箐光伏,华坪瓦房箐光伏发电站,36,云南省,丽江市,华坪县,兴泉镇,华坪瓦房箐光伏发电站,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-27148-530700-1.html,36MW,https://www.bidcenter.com.cn/zhaobiao/zbkeyw-27148-530700-1.html,高,地理编码成功,兴泉镇,101.42851,26.6148,success: detail_address
237,华坪楠木光伏,华坪楠木村光伏发电站,50,云南省,丽江市,华坪县,云南省丽江市华坪县,华坪楠木村光伏发电站,https://newenergy.in-en.com/html/newenergy-2450171.shtml,50MW,https://newenergy.in-en.com/html/newenergy-2450171.shtml,高,地理编码成功,云南省丽江市华坪县,101.26447,26.63264,success: detail_address
238,华坪产业园区分布式光伏,华坪产业园区屋顶分布式光伏发电站,41.83,云南省,丽江市,华坪县,云南省丽江市华坪县,华坪产业园区屋顶分布式光伏发电站,https://k.sina.com.cn/article_7517400647_1c0126e4705904ev4c.html,41.83MW,https://k.sina.com.cn/article_7517400647_1c0126e4705904ev4c.html,高,地理编码成功,云南省丽江市华坪县,101.26447,26.63264,success: detail_address
239,永善马楠坪厂光伏,永善马楠坪厂光伏发电站,400,云南省,昭通市,永善县,云南省昭通市永善县,永善马楠坪厂光伏发电站,https://finance.sina.com.cn/jjxw/2025-01-26/doc-inehhekm2519676.shtml,400MW,https://finance.sina.com.cn/jjxw/2025-01-26/doc-inehhekm2519676.shtml,高,地理编码成功,云南省昭通市永善县,103.63619,28.23269,success: detail_address
240,永善海子山光伏,永善海子山光伏发电站,200,云南省,昭通市,永善县,云南省昭通市永善县,永善海子山光伏发电站,https://www.cwc.net.cn/mobile/news/show-11043.html,200MW,https://www.cwc.net.cn/mobile/news/show-11043.html,高,地理编码成功,云南省昭通市永善县,103.63619,28.23269,success: detail_address
241,巧家海坝光伏,巧家海坝光伏发电站,240,云南省,昭通市,巧家县,老店镇,巧家海坝光伏发电站,https://guangfu.bjx.com.cn/news/20220826/1251017.shtml,240MW,https://guangfu.bjx.com.cn/news/20220826/1251017.shtml,高,地理编码成功,云南省昭通市巧家县老店镇,103.2764,26.92893,success: province_city_district_detail
