风电场项目名称（中文）,装机容量(MW),电站类型,经度,纬度,省份
湖北能源集团远安茅坪风电场,100,陆上风电,111.6333,31.0646,湖北
湖北能源集团鹤峰走马风电场,50,陆上风电,110.4228,29.819,湖北
湖北能源麻城蔡家寨风电项目,50,陆上风电,115.1842,31.4431,湖北
湖北能源黄石筠山风电项目,80,陆上风电,115.259,29.9657,湖北
湖北襄州峪山风电场一期,48,陆上风电,112.4231,31.8605,湖北
湖北襄州峪山风电场二期,89,陆上风电,112.1158,32.0117,湖北
湖北通山九宫山风电场,14,陆上风电,111.665,29.3922,湖北
湖北钟祥华山观风电场,22,陆上风电,112.8806,31.1531,湖北
湖北钟祥红花堰二期风电场,50,陆上风电,112.1158,32.0117,湖北
湖北钟祥胡家湾风电场,150,陆上风电,112.8806,31.1531,湖北
湖北随县二妹山风电场,50,陆上风电,113.7083,32.0839,湖北
湖北随县黑石垛风电场,50,陆上风电,113.6942,32.0508,湖北
湖北黄冈黄梅招云寨风电场,38,陆上风电,112.8806,31.1531,湖北
湖北龙感湖风电场工程项目,48,陆上风电,116.0544,29.8642,湖北
湖北龙源黄陂刘家山风电场,46.2,陆上风电,114.2116,31.2647,湖北
综电汉江宜城河东150MW风电项目,150,陆上风电,112.2512,31.7194,湖北
荆州天楚风电石首桃花山风电场49.5MW发电工程,50,陆上风电,112.6775,29.6142,湖北
运达风电崇阳东岳分散式风电场项目,20,陆上风电,114.1822,29.3304,湖北
远景天门胡市风电场工程项目,81.4,陆上风电,113.3734,30.799,湖北
金泉荆门风电项目,48,陆上风电,112.1426,31.0848,湖北
齐岳山风电利川双鹿风电场49.5MW发电工程,50,陆上风电,108.6172,30.2822,湖北
龙源保康黄连山风电项目,48,陆上风电,112.4684,31.8727,湖北
